planned performance;geplante Leistung, Leistungsvorgabe
automatic vending machine, automatic vendor;Warenautomat
caterer;Gastronom
index of wholesale prices;Großhandelspreisindex
all-round;universal
to bring out;herausbringen, herausgeben
sales control;Absatzkontrolle, Verkaufskontrolle
full set of documents;vollständiger Satz von Dokumenten
renewal;Erneuerung, Verlängerung
elaborate;ausgearbeitet
actual output;tatsächlich erreichte Leistung, Istleistung
preclusion;Ausschließung
handling of information;Verarbeitung von Information
adulteration;Verfälschung
incremental analysis;Zuwachsanalyse
seasonally adjusted;saisonbereinigt
keep pace with changing trends;mit dem wechselnden Trend Schritt halten
alienate;veräußern
collapse of the market;Zusammenbruch des Marktes
bond;Obligation, Verpflichtung
conditional acceptance;Akzept unter einer Bedingung, bedingte Annahme
to deliver the goods;die Ware liefern, die Waren übergeben
fashion goods;Modeartikel
yield on invested funds;Ertrag aus den Anlagen
lower the discount rate;den Diskontsatz herabsetzen
bill payable at sight, bill payable on sight;Sichtwechsel
paid dividend;ausbezahlte Dividente
debit;belasten, Lastposten, Schuldposten
assemble;zusammenfügen, zusammenbauen, montieren
goods-in-transit;Transitgüter
intention of the parties;der Wille der Parteien
process time;Bearbeitungszeit
payable upon the import of the goods;zahlbar bei Einfuhr der Ware
undervalue;unterbewerten, unterschätzen
for the account of the principal;auf Rechnung des Auftraggebers
paper clip;Büroklammer
price guarantee;Preisgarantie
stating the name of the air carrier;unter Angabe des Luftfrachtführers
ground hostess;Bodenstewardess
how the seller should;wie der Verkäufer sollte
it affects the relations;es berührt das Verhältnis
poor price;schlechter Preis
macroeconomics;Makroökonomie
habitual;gewöhnlich
documents against acceptance;Dokumente gegen Wechselakzept, Handelspapiere gegen Akzeptierung
working method;Arbeitsverfahren, Arbeitsmethode
efficiency of labour;Produktivität der Arbeit, Effektivität
renewal fee;Verlängerungsgebühr
bequest;vererben
initial order;Erstauftrag
overall consumption;Gesamtverbrauch
act of grace;Gnadenakt
inadequate lighting;ungenügende Beleuchtung
discount;Diskont, Nachlass, Rabatt, Skonto, diskontieren
action on a bill;Wechselklage
progress chart;Arbeitsflussbild
unsafe;nicht sicher
borrowing arrangements;Vereinbarungen für die Kreditaufnahme
not a sufficient weight;kein ausreichendes Gewicht
wager;Wetteinsatz
the drawee;der Bezogene
semi-annual interest;halbjährliche Zinsen
we intend to sell our goods overseas;unsere Ware in Übersee zu verkaufen
application for shares;Antrag auf Zuteilung von Aktien
in compliance with the regulations;in Beachtung der Vorschriften
luxory article;Luxusartikel
producers' cooperative;Produktionsgenossenschaft
mail teller;Kassier der postalischen Eingang bearbeitet
piecework system;Akkordsystem, Stücklohnsystem
knock down price;äußerster Preis
forwarding of goods;Güterbeförderung
dispensable;entbehrlich
grained paper;gekörntes Papier
note circulation;Notenumlauf
otherwise;anderes
handling expenses;Bearbeitungskosten
period of grace;Nachfrist
hazardous goods;gefährliche Güter
attendance;Anwesenheit
income from capital;Einkommen/Einkünfte aus Kapitalvermögen
money saver;wirtschaftlicher Artikel, sparsames Gerät
list of stockholders;Liste der Aktionäre
public relations;Beziehungen zur Öffentlichkeit, Werbung
shut-down time;Abrüstzeit bei Arbeitsschluss
bid bond;Bietungsgarantie
bounced cheque;geplatzter Scheck, ungedeckter Scheck
net yield;Nettoertrag
special edition;Extrablatt, Sonderausgabe
indirect export;indirekte Ausfuhr
credit limit;Kreditgrenze
cyclical forecast;Konjunkturvorhersage
the real reward;der wirkliche Verdienst
statistical records;statistische Unterlagen, Aufzeichnungen
present;gegenwärtig, vorlegen
void from the beginning;von Anfang an nichtig
survey report;Schadenszertifikat
bullion department;Edelmetallabteilung
leisure;Muße, Freizeit
firm price;fester Preis
price arrangement;Preisvereinbarung, Preisabsprache
to add one's confirmation;seine Bestätigung hinzuzufügen
exhibitor;Aussteller
popular;volkstümlich, beliebt, gängig, populär
advantage;Vorteil
default in delivery;Lieferverzug
wage slip;Lohnabrechnungszettel
price deduction;Preisermäßigung
maintenance expense account;Instandhaltungskonto
costs of replacement;Wiederbeschaffungskosten
generally binding;allgemein verbindlich
introduction;Einführung, Einleitung
raise a protest;Protest erheben
lessee;Pächter
specifications;technische Bedingungen
rent value;Mietwert
speed rating;Abschätzen der Geschwindigkeit, Einschätzung der Geschwindigkeit
typescript;maschinengeschriebenes Schriftstück
premature;vorzeitig
partly finished;nur zum Teil fertiggestellt
magazine post;Zeitschriftensendung
distribution of profits;Gewinnverteilung
any charges;alle Gebühren, jegliche Gebühren
division of powers;Gewaltenteilung
title page;Titelblatt
factory overhead rate;Fabrikationsgemeinkostensatz
refuse a request;ein Gesuch ablehnen
postgraduate education;erweiterte Hochschulbildung
costs of damage;Kosten der Beschädigung
apply for sth.;sich um etwas bewerben
to leave a profit;einen Gewinn abwerfen, übrig lassen
bill-board;Anschlagtafel, schwarzes Brett
ready cash;Bargeld
unlisted securities;nicht zugelessene Wertpapiere, nichtnotierte Werte
exchange of information;Informationsaustausch
place of jurisdiction;Gerichtsstand
standardization of products;Standardisierung von Produkten
the seller may select the point;der Verkäufer kann den Ort auswählen
significant difference;signifikanter Unterschied, bezeichnender
financial committee;Finanzausschuss
base time;Normalzeit für einen Arbeitsablauf
office aids;Bürohilfen, Bürogeräte
mail rates;Posttarif
old-age pension;Altersrente
concurrent policies;parallele Policen
impression;Eindruck
ferry;Fähre, Fährschiff
protest charges;Protestgebühren, Protestkosten
luxury flat;Luxuswohnung
pioneering advertising;Initialwerbung
revenue office;Finanzamt
Malthusian theory of population;Bevölkerungstheorie von Malthus
to avert further damage;weiteren Schaden abwenden
civil offence;unerlaubte Handlung
homework system;Heimarbeitssystem
ease of borrowing;Leichtigkeit der Kreditaufnahme
freephone;gebührenfreier Telefonanruf
accident insurance;Unfallversicherung
briefcase;Aktentasche
operating instructions;Betriebsanleitung
are not used;werden nicht benutzt
refresh;auffrischen
payments-out;Auszahlungen
real estate agent, real estate broker;Grundstücksmakler
coefficient of correlation;Korrelationskoeffizient
in banking practice;im Bankwesen
demonstrate;beweisen
the fair is held in Hanover;die Messe wird in Hannover abgehalten
freight charges;Frachtkosten
relapse;Rückfall
the following articles;die folgenden Artikel
benefit of an invention;Erlös aus einer Erfindung
economic sanctions;Wirtschaftssanktionen
a series of acts;eine Reihe von Handlungen
scheme of improvement;Plan zur Verbesserung, Verbesserungsvorhaben
knowledge of the facts;Kenntnis der Tatsachen
pawnbroking;Pfandleihgeschäft
legal steps;gerichtliche Schritte
offset;gegenrechnen, Gegenrechnung, Aufrechnung
to achieve a common purpose;ein gemeinsames Ziel erreichen
have no obligation to;sind nicht verpflichtet zu
economic congress;Wirtschaftskongress
interim solution;Zwischenlösung
to raise an objection;Einspruch erheben
cast;werfen
form of enterprise;Unternehmensform
unpaid dividend;rückständige Dividende
in case of doubt;im Zweifel, im Zweifelsfalle
re-invest;wieder anlegen
go to arbitration;aufs Schiedsgericht gehen
delayed delivery;verspätete Anlieferung
recruiting drive;Rekrutierungskampagne
negative element;negatives Element
to go on leave;in Urlaub gehen
probability theory;Wahrscheinlichkeitstheorie
deposit receipt;Depotschein, Hinterlegungsschein
consumption habits;Verbrauchsgewohnheiten
amendments;Ergänzungen
conformity;Übereinstimmung
other governmental authorization;andere amtliche Bescheinigung
incur any expensdes;irgendwelche Kosten übernehmen
unendorsed;nicht giriert
country;Land
customary to the operation;für den Vorgang üblich
new issue;Neuauflage, Neuausgabe
bargaining;Verhandeln
assignment in blank;Blankoindossament
breweries shares;Brauereiaktien
to trace back;zurückverfolgen
recommended retail selling price;empfohlener Einzelhandelsabgabepreis
slogan;Slogan, Werbespruch
foreign exchange transactions;Devisengeschäfte
retrograde;rückschreitend
to abate the rent;die Pacht nachlassen, mindern
external debt;Auslandsschuld
governmental assistance;Unterstützung durch die Regierung
dollar cheque;Dollarscheck
on minimum conditions;zu Mindestbedingungen
rise of shares;Steigen der Aktien
motor vehicle tax;KFZ-Steuer
debit advice;Belastungsanzeige, Lastschrift
activity duration;Aktivitätsdauer, für die Handlung benötigte Zeit
disabled;schwerbeschädigt
flowproduction;Fließfertigung
call-box;Fernsprechzelle
favourable;günstig
discretion;Diskretion, Ermessen
interior decoration;Innendekoration
subject to being paid;vorausgesetzt dass bezahlt
compounded interest;Zinseszins
the stipulated documents;die vorgeschriebenen Dokumente
intercommunication system;Sprechanlage
premises;Grundstück mit allen Gebäuden, Geschäftsräume
writ of summons;Vorladung
shipping papers;Versandpapiere
risk of the business;Geschäftsrisiko
earned income;durch eigene Arbeit verdientes Einkommen
lowest quotation;niedrigste Notierung, niedrigster Kurs
exchange of goods and services;Waren- und Dienstleistungsverkehr
no obligations;keine Verpflichtung
pilot operation, pilot plant;Versuchsbetrieb
accounting department;Buchhaltung
demand payment;zur Zahlung auffordern
marketing arrangement;Marktabsprache
agreement of interest;Interessenabstimmung
rate sth;abschätzen, bewerten
to be taken in by sb.;von jemendem übervorteilt werden
routine job;Routineangelegenheit, Routinetätigkeit, Routineaufgabe
personal needs allowance;persönliche Zeitzugabe
time observation;Zeitaufnahme
handle large sums of money;mit großen Geldbeträgen umgehen
new product development;Neuentwicklung von Produkten
free of cost;gratis
concentrate;konzentrieren
joint business;Gemeinschaftsgeschäft
starting salary;Anfangsgehalt
sold note;Verkaufsanzeige
economic community;Wirtschaftsgemeinschaft
freight paid;Fracht bezahlt
become a bankrupt;bankrott machen
beauty farm;Schönheitsfarm
peppercorn rent;nominelle Pacht
amendment of a claim;Änderung einer Forderung, einer Klage
matter in hand;vorliegende Sache
economic theory;Wirtschaftstheorie
free-trader;Anhänger und Verfechter des Freihandels
price elasticity;Preiselastizität
daily turnover;Tagesumsatz
field investigator;Marktbefrager
building lease;erbpachtrechtliche Überlassung
rack rent;ungewöhnlich hoher
seven days' notice;siebentägige Kündigungsfrist
vanity;Eitelkeit
there is a clear agreement;es besteht ausdrückliche Übereinstimmung
supply bottleneck;Versorgungsengpass
true to original;originalgetreu
is primarily intended to be used;ist hauptsächlich vorgesehen für
not authenticated;nicht verbürgt
stock broker;Börsenmakler
cost of foundation;Kosten der Gründung
allot shares;Aktien zuteilen
cashier's cheque;Bankscheck, Banktratte
calculation of profits;Ertragsberechnung, Gewinnberechnung
general agent;Generalvertreter, Generalbevollmächtigter
reaction;Reaktion
beneficiary;Begünstigter
limited resources;beschränkte Mittel
oil;cloth Öltuch
break-even chart;Rentabilitätsdiagramm
see-through pack;Klarsichtpackung
minimum number;Mindestzahl
lending fee;Leihgebühr
basic conditions;Grundbedingungen
market situation;Marktlage
technically oriented;technisch orientiert
revenue;Einkünfte, Steuereinkommen, Einkünfte des Staates
ice box;Kühlschrank (US)
cause and effect;Ursache und Wirkung
safe custody;sichere Verwahrung
decade system;Zehnersystem
the final destination;der endgültige Bestimmungsort
naming;Benennung
boom;Aufschwung, Geschäftsbelebung, Blüte, Hochkonjunktur
no admittance;kein Zutritt
conditions of a contract;Bedingungen eines Vertrages
should be avoided;sollte vermieden werden
we assume the risk of bad debts;die Gefahr uneinbringlicher Forderungen
single-spaced;einzeilig
cancellation fee;Stornierungsgebühr
direct sale;Direktverkauf
coordinated;koordiniert
blue print;Blaupause, Werkstattzeichnung
discountable;diskontierbar
yesterday;gestern
pecuniary claim;Zahlungsanspruch
team mate;Arbeitskamerad
banker's guarantee;Bankgarantie
price-earning ratio;Verhältnis von Preis und Ertrag
elasticity of the market;Elastizität des Marktes
impact study;Untersuchung der Werbewirksamkeit
sell at retail;im Einzelhandel verkaufen
market structure;Marktstruktur
legal ownership;rechtmäßiger Besitz
beyond dispute;unstrittig
errand boy;Laufbursche
delivery service;Zustelldienst
authority to negotiate;Vollmachte zu negoziieren
land bank;Hypothekenbank
critical parameter;kritische Grundgröße
immediate possession;sofortiger Besitz
