primevère à feuilles entières;Ganzblättrige Schlüsselblume
l'adepte (m/f);Eingeweihter
attenter;ein Attentat ausführen
la mousse;Moos
bégonia;Schiefblatt, Begonie
le porte-plume;Federhalter
roumain;rumänisch
la perruque;Perücke
le théiste;Theist
la Barcelone;Barcelona
le pourcentage;Prozent, Zins
acoustique;akustisch
la Manille;Manila
glorieux;berühmt, glorreich
l'aide (f);Beihilfe, Beistand, Handreichung, Hilfe
la sommation;Ermahnung, Zuspruch
réconcilier;aussöhnen, versöhnen
bâfrer;fressen, schlingen, verschlingen
l'Alsacien (m);Elsässer
la bave, la salive;Speichel
le teint;Gesichtsfarbe, Teint
la lunette;Fernrohr
l'otage (m);Geisel
traîner;schleppen, nachschleppen
le mystère;Geheimnis, Mysterium
accrocher;anhängen, anhaken, häkeln / anklammern, haken
la tortue;Schildkröte
orchestrer;für Orchester bearbeiten
l'iode (m);Jod
garnir;besetzen, einfassen, garnieren, verzieren
amnésie;Amnesie, Gedächtnisschwund
tatare;tatarisch
stupéfait;bestürzt
gentiane à feuilles rondes;Rundblättriger Enzian
le missionnaire;Missionar
l'asphyxie (f);Scheintod
la suie;Ruß
le Chypriote, le Cypriote;Zypriot
le rail;Schiene
la berce;Bärenklau
séneçon à feuilles d'auron;Eberrauten-Kreuzkraut
le tzigane, le gitan;Zigeuner
toutes les fois;Alles, das Ganze
éditer;herausgeben
le Bavarois;Bayer
la pervenche;Immergrün
Honduras (m);Honduras
frisé, crêpé;kraus, gekräuselt
architrave;Architrav
l'agoraphobie (f);Agoraphobie
consacrer;weihen, widmen, zueignen / konsekrieren, einsegnen, einweihen / erbieten, opfern
la ronde;Ronde / Bezirk, Kreis, Runde
la Tamise;Themse
le seigle;Roggen
la croûte;Kruste, Rinde
le Bengale;Bengalen
le pommier;Apfelbaum
l'Oural (m);Ural
hondurien;honduranisch
le dauphin;Delphin
gabonais;gabunisch
le bambocheur;Wüstling
rythmique, rythmé;rhythmisch
la baleine;Walfisch
injecter;einspritzen, injizieren
le banquier;Bankier
refroidir;däpfen
frotter;frottieren, reiben, abreiben
la Bessarabie;Bessarabien
la prise de courant mâle, le bouchon;Pfropfen, Stöpsel
le céleri;Sellerie
doronic à grandes fleurs;Großblütige Gemswurz
la chouette, l'effraie (f), hibou (m);Eule
la volupté;Lust, Wonne
le guillemet;Anführungszeichen, Gänsefüßchen
l'Abkhasie (f);Abchasien
le levier;Hebel, Winde
le cap;Kap, Vorgebirge
pakistanais;pakistanisch
saxifrage de Burser;Bursers Steinbrech
traire;melken
cicerbite des Alpes;Alpen-Milchlatich
durer;dauern, währen
le placard, l'affiche (f);Affiche, Anschlag, Anschlagzettel, Plakat, Aushang
le Corse;Korse
Cernay;Sennheim
le brochet;Hecht
tropical;tropisch
l'arsenal (m);Waffenlager, Arsenal / Zeughaus
le Lapon;Lappländer
objectif;objektiv
le coucou;Kuckuck
influer;beeinflussen, einwirken, Einfluss haben auf
le cercueil;Sarg
le nœud;Band, Schleife, Schlinge / Knoten
la pollution atmosphérique;Luftverschmutzung
le flocon;Flocke
la malaria;Malaria
le Josué;Josua
la théocratie;Theokratie
le rhinocéros;Nashorn
mettre d'accord;in Einklang bringen
équilatéral;gleichseitig
bavarder, babiller;plaudern, schwatzen
cambodgien, khmer;kambodschanisch
les provisions;Proviant
le moignon, le tronçon;Stummel, Stumpf
la satisfaction;Genugtuung
la maille;Masche, Schlinge
particulier;abgesondert, einzeln, seperat
le ravin;Schlucht
l'intermédiaire (m);Vermittler
repoussant;garstig
le mysticisme;Mystizismus
clapoter;klatschen, plätschern
buriner, ciseler;meißeln, ziselieren
lier;anschließen
la barrière;Hecke, Schranke, Sperre, Zaun
la glande;Drüse
la boussole;Kompass
l'orphelin (m);Waise, Waisenknabe
angulaire;Eck..., Winkel...
étonner;in Verwunderung setzen, verwundern
l'égout (m), le cloaque;Kloake
la limite, la frontière;Grenze, Schranke
athénien;athenisch
sans détour, debout;aufrecht, direkt, gerade, geradeaus, geradeswegs, geradezu
l'anthropologie (f);Anthropologie, Menschenkunde
Saint-Louis;Sankt Ludwig
le stylo;Füllfederhalter, Füller / Füllfeder
arsenic;Fliegenstein, Arsen
équiper;ausrüsten
la préférence;Vorzug
la grotte;Grotte
la diarrhée;Diarrhöe, Durchfall
la cravate;Halsbinde, Krawatte, Schlips
nez aquilin, le nez aquilin;Adlernase
régaler;bewirten, traktieren
géorgien;georgisch
la niche;Nische
le martin-pêcheur;Eisvogel
entasser;aufstapeln, häufen
libérien;liberianisch
le Laos;Laos
la mythologie;Mythologie
oxytropide;Fahnenwicke
arménien;armenisch
linaire des Alpes;Alpen-Leinkraut
destiner;ausersehen, bestimmen, festsetzen
la preuve;Ausweis, Beweis, Beleg
l'acolyte (m);Akoluth, Meßdiener
le Saint-Nicolas;Sankt Nikolaus
autoritaire;autoritativ, autoritär
l'écume (f);Gischt, Schaum
rouler;rollen, wälzen
sucer;lutschen, saugen
l'arrêt (m);Stillstand
la mystification;Mystifikation
le dahlia;Dahlie / Georgine
loucher;schielen
la piste;Arena, Kampfplatz / Rennbahn, Piste
la corde;Leine, Schnur, Seil, Strang, Strick
le paon;Pfau
véronique buisonnante;Felsen-Ehrenpreis
l'apostrophe (f);Apostroph, Auslassungszeichen
antibiotique;Antibiotikum
l'intestin (m);Darm
la mâchoire;Kiefer, Kinnlade
experimenté;bewandert, erfahren, kundig
alun;Alaun
l'arête de poisson (f);Gräte
la manœuvre;Manöver
l'Egyptien (m);Ägypter
le vagin;Scheide, Vagina
l'ambre gris (m), ambre;Ambra, Amber
la cale;Keil
l'amplitude (f);Amplitude
continuer;dauern, währen / fortfahren, fortführen
rafraîchir;erfrischen, erquicken
l'ambassade (f);Gesandtschaft / Botschaft
béguine;Beguine
le Panaméen;Panamaer
sensuel;geil
le protoplasme;Protoplasma
le lis;Lilie
bafouiller, bégayer, balbutier;stammeln, stottern
fendre;spalten
la princesse;Fürstin, Prinzessin
la quittance;Empfangsschein, Quittung
verrouiller;verriegeln, zuriegeln
le bikini;Bikini
inné;angeboren
le nombre entier;ganze Zahl
acétate;Essigsäuresalz, Acetat
epervière;Habichtskraut
la bande;Bande, Horde, Rotte, Tross / Binde, Streifen
le mimosa;Mimose
l'alto (m);Altstimme
la vigne vierge;Doldenrebe
se promener;spazieren
néo-zélandais;neuseeländisch
le tremble;Espe, Zitterpappel
sûrement;allerdings, freilich, gewiss, immerhin, wohl, zwar / absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar
l'apologie (f);Verteidigungsrede
sommer;vermahnen, zureden / anordnen, befehlen, gebieten, verordnen, vorschreiben
le granit;Granit
la Bohême;Böhmen
l'atlantique (m);Atlantik-
guerroyer;kriegen, Krieg führen
impoli;ungezogen, unverfroren
le pintade;Perlhuhn
l'ouate (f);Watte
durcir;hart machen, härten, abhärten, stählen
l'ambition (f);Ehrgeiz
congolais;kongolesisch
le porteur, le bagagiste;Dienstmann, Gepäckträger, Träger
frêle;grazil, feingliedrig, zartgliedrig
l'Afrikander (m), le Boer;Bure
byzantin;byzantinisch
le marron;Kastanie, Marone
Népal;Nepal
l'Adjarie (f);Adscharien
le bastion;Bastei, Bastion, Bollwerk
l'immunité (f);Immunität
le pilote;Lotse
le projet;Entwurf, Plan, Grundriss / Projekt
l'ange (m);Engel
houp, hop;hopp
la facture;Faktura, Rechnung, Warenrechnung
le géographe;Geograph
le favori;Favorit, Günstling
la Jéricho;Jericho
dynamique;dynamisch
la Naples;Neapel
digérer;verdauen
la bain de vapeur;Schwitzbad, Sauna
le métalloïde;Metalloid
le coyote;Kojote, nordamerikanischer Präriewolf
en dépit de;trotz, ungeachtet, zum Trotz
transformer;umbilden, umgestalten, umwandern
germer;ausschlagen, keimen, sprießen, sprossen
la touffe de poils;Zotte
la Méduse;Medusa
la Nouvelle-Zélande;Neuseeland
le brahmane;Brahmane
le creux;Grube, Höhlung, Vertiefung
la platine;Platin
le pâtre;Hirte, Senner
le robinet;Zapfen, Hahn
le moine;Mönch
le quotient;Quotient
Hautes Fagnes;Hohes Venn
le gardon;Plötze, Rotauge, Schwall
éteindre;auslöschen, dämpfen
aphte;Mundschwamm
souverain;souverän
la stature;Gestalt, Statur
les Ardennes;Ardennen, Ardennerwald
primevère hérissée;Behaarte Aurikel
joubarbe de Wulfen;Gelbe Hauswurz
concerné;betreffend
s'entremettre;vermitteln, werben
le Calvaire;Golgatha
le romarin;Rosmarin
le bouchon de liège, le liège;Kork, Pfropfen, Stöpsel
accompagnatrice;Begleiterin
le mûrier;Maulbeerbaum
l'ouragan (m);Orkan
l'accusé de réception (m), l'acquit (m);Quittung
enduire, étaler;schmieren
accaparer, monopoliser;<wucherisch aufkaufen>
le poème;Gedicht
la coquille, la conque;Muschel
la bretelle, la bretelle de vêtement, les bretelles;Hosenträger
le sanglier;Eber, Wildschwein
la cime;höchster Punkt, Apogäum, Gipfel, Spitze, Kulminationspunkt, Höhepunkt / Stift, Zacke, Zinke, Zipfel
le testament;Testament, Vermächtnis
le corbeau;Rabe / Krähe
porillon, jeannette;Weiße Narzisse
répartir;zerlegen / austeilen, verallgemeinern, verteilen
l'antithèse (f);Antithese, Gegensatz
archange;Erzengel
préserver;wahren
cabaret;Kabarett / Kleinkunstbühne
l'athlète (m/f);Athlet / Athletin
le relief;Relief
la fourmilière;Ameisenhaufen
le myrrhe;Myrrhe
correspondre;kongruieren / entsprechen, in Briefwechsel stehen, korrespondieren
le Brésilien;Brasilianer
le protecteur;Gönner / Patron, Schirmherr
anabaptisme;Wiedertaufe
le radon;Radon
l'armure (f);Panzer, Harnisch
l'oxyde (m);Oxid
le peuplier;Pappel
l'inconvénient (m), l'obstacle (m);Schranke
l'ulcère (m);Geschwür
l'Athènes (f);Athene / Athen
baobab;Baobab, Affenbrotbaum
l'abbaye (m);Abtei
chauve;kahl
le virage;Kurve, Wende, Drehen
Judée;Judäa
bombe atomique;Atombombe, Nuklearbombe
sceptique;skeptisch
vieux;abgelebt, baufällig, gebrechlich, hinfällig / alt, bejahrt, betagt
l'afflux (m);Flut, Zufluss / Blutandrang, Kongestion
la confiance;Vertrauen, Zuversicht
ventiler;ventilieren
affranchi;frankiert
la griffe;Klaue, Kralle
murmurer;murmeln, murren
l'amabilité (f), l'aménité (f);Freundlichkeit, Wohlwollen
la méduse;Qualle
l'Alger (m);Algier
agréablement;annehmlich
élastique;elastisch, federnd
enrichir;bereichern
la Clèves;Kleve
